base_currency,quote_currency,bid,ask,midpoint
AUD,AUD,1.00000,1.00000,1.00000
AUD,CAD,0.927845,0.928175,0.928010
AUD,CHF,0.705583,0.705877,0.705730
AUD,CNY,4.91867,4.92085,4.91976
AUD,EUR,0.617776,0.617864,0.617820
AUD,GBP,0.546157,0.546343,0.546250
AUD,JPY,79.9110,79.9260,79.9185
AUD,MXN,13.7382,13.7464,13.7423
AUD,SEK,6.37628,6.38031,6.37830
AUD,USD,0.708360,0.708520,0.708440
CAD,AUD,1.07738,1.07777,1.07758
CAD,CAD,1.00000,1.00000,1.00000
CAD,CHF,0.760355,0.760599,0.760477
CAD,CNY,5.30049,5.30232,5.30140
CAD,EUR,0.665679,0.665841,0.665760
CAD,GBP,0.588553,0.588697,0.588625
CAD,JPY,86.1124,86.1328,86.1226
CAD,MXN,14.8047,14.8121,14.8084
CAD,SEK,6.87125,6.87493,6.87309
CAD,USD,0.763347,0.763446,0.763396
CHF,AUD,1.41668,1.41727,1.41698
CHF,CAD,1.31475,1.31518,1.31496
CHF,CHF,1.00000,1.00000,1.00000
CHF,CNY,6.96975,6.97258,6.97116
CHF,EUR,0.875365,0.875519,0.875442
CHF,GBP,0.773898,0.774108,0.774003
CHF,JPY,113.233,113.258,113.246
CHF,MXN,19.4670,19.4780,19.4725
CHF,SEK,9.03517,9.04057,9.03787
CHF,USD,1.00374,1.00394,1.00384
CNY,AUD,0.203217,0.203307,0.203262
CNY,CAD,0.188597,0.188662,0.188630
CNY,CHF,0.143419,0.143477,0.143448
CNY,CNY,1.00000,1.00000,1.00000
CNY,EUR,0.125561,0.125602,0.125582
CNY,GBP,0.111013,0.111050,0.111032
CNY,JPY,16.2426,16.2478,16.2452
CNY,MXN,2.79247,2.79411,2.79329
CNY,SEK,1.29606,1.29687,1.29646
CNY,USD,0.143983,0.144014,0.143998
EUR,AUD,1.61848,1.61871,1.61860
EUR,CAD,1.50186,1.50223,1.50204
EUR,CHF,1.14218,1.14238,1.14228
EUR,CNY,7.96163,7.96426,7.96294
EUR,EUR,1.00000,1.00000,1.00000
EUR,GBP,0.884030,0.884200,0.884115
EUR,JPY,129.346,129.366,129.356
EUR,MXN,22.2374,22.2482,22.2428
EUR,SEK,10.3212,10.3258,10.3235
EUR,USD,1.14659,1.14672,1.14666
GBP,AUD,1.83035,1.83098,1.83066
GBP,CAD,1.69867,1.69908,1.69888
GBP,CHF,1.29181,1.29216,1.29198
GBP,CNY,9.00493,9.00792,9.00642
GBP,EUR,1.13097,1.13118,1.13108
GBP,GBP,1.00000,1.00000,1.00000
GBP,JPY,146.300,146.326,146.313
GBP,MXN,25.1514,25.1637,25.1576
GBP,SEK,11.6735,11.6796,11.6766
GBP,USD,1.29684,1.29699,1.29692
JPY,AUD,0.0125116,0.0125139,0.0125128
JPY,CAD,0.0116100,0.0116127,0.0116114
JPY,CHF,0.00882940,0.00883135,0.00883038
JPY,CNY,0.0615466,0.0615665,0.0615566
JPY,EUR,0.00773001,0.00773120,0.00773060
JPY,GBP,0.00683406,0.00683527,0.00683466
JPY,JPY,1.00000,1.00000,1.00000
JPY,MXN,0.171904,0.171986,0.171945
JPY,SEK,0.0797854,0.0798263,0.0798058
JPY,USD,0.00886360,0.00886454,0.00886407
MXN,AUD,0.0727462,0.0727896,0.0727679
MXN,CAD,0.0675125,0.0675463,0.0675294
MXN,CHF,0.0513401,0.0513690,0.0513546
MXN,CNY,0.357896,0.358106,0.358001
MXN,EUR,0.0449475,0.0449692,0.0449584
MXN,GBP,0.0397398,0.0397592,0.0397495
MXN,JPY,5.81442,5.81719,5.81580
MXN,MXN,1.00000,1.00000,1.00000
MXN,SEK,0.463955,0.464316,0.464136
MXN,USD,0.0515421,0.0515613,0.0515517
SEK,AUD,0.156732,0.156831,0.156782
SEK,CAD,0.145456,0.145534,0.145495
SEK,CHF,0.110613,0.110679,0.110646
SEK,CNY,0.771088,0.771568,0.771328
SEK,EUR,0.0968443,0.0968880,0.0968662
SEK,GBP,0.0856196,0.0856644,0.0856420
SEK,JPY,12.5272,12.5336,12.5304
SEK,MXN,2.15371,2.15538,2.15454
SEK,SEK,1.00000,1.00000,1.00000
SEK,USD,0.111048,0.111093,0.111070
USD,AUD,1.41139,1.41171,1.41155
USD,CAD,1.30985,1.31002,1.30994
USD,CHF,0.996080,0.996270,0.996175
USD,CNY,6.94375,6.94525,6.94450
USD,EUR,0.872052,0.872151,0.872102
USD,GBP,0.771016,0.771105,0.771060
USD,JPY,112.809,112.821,112.815
USD,MXN,19.3944,19.4016,19.3980
USD,SEK,9.00147,9.00513,9.00330
USD,USD,1.00000,1.00000,1.00000
