base_currency,quote_currency,bid,ask,midpoint
AUD,AUD,1.00000,1.00000,1.00000
AUD,CAD,0.927852,0.928190,0.928021
AUD,CHF,0.705583,0.705877,0.705730
AUD,CNY,4.91867,4.92085,4.91976
AUD,EUR,0.617776,0.617864,0.617820
AUD,GBP,0.546157,0.546343,0.546250
AUD,JPY,79.9100,79.9260,79.9180
AUD,MXN,13.7382,13.7464,13.7423
AUD,SEK,6.37603,6.38039,6.37821
AUD,USD,0.708360,0.708520,0.708440
CAD,AUD,1.07737,1.07776,1.07756
CAD,CAD,1.00000,1.00000,1.00000
CAD,CHF,0.760343,0.760593,0.760468
CAD,CNY,5.30041,5.30228,5.30134
CAD,EUR,0.665651,0.665824,0.665738
CAD,GBP,0.588544,0.588693,0.588618
CAD,JPY,86.1119,86.1329,86.1224
CAD,MXN,14.8044,14.8120,14.8082
CAD,SEK,6.87087,6.87496,6.87292
CAD,USD,0.763335,0.763440,0.763388
CHF,AUD,1.41668,1.41727,1.41698
CHF,CAD,1.31476,1.31520,1.31498
CHF,CHF,1.00000,1.00000,1.00000
CHF,CNY,6.96975,6.97258,6.97116
CHF,EUR,0.875365,0.875519,0.875442
CHF,GBP,0.773892,0.774096,0.773994
CHF,JPY,113.235,113.260,113.248
CHF,MXN,19.4670,19.4780,19.4725
CHF,SEK,9.03482,9.04067,9.03774
CHF,USD,1.00374,1.00394,1.00384
CNY,AUD,0.203217,0.203307,0.203262
CNY,CAD,0.188598,0.188665,0.188632
CNY,CHF,0.143419,0.143477,0.143448
CNY,CNY,1.00000,1.00000,1.00000
CNY,EUR,0.125558,0.125600,0.125579
CNY,GBP,0.111013,0.111050,0.111032
CNY,JPY,16.2428,16.2480,16.2454
CNY,MXN,2.79246,2.79411,2.79328
CNY,SEK,1.29601,1.29688,1.29644
CNY,USD,0.143983,0.144014,0.143998
EUR,AUD,1.61848,1.61871,1.61860
EUR,CAD,1.50190,1.50229,1.50210
EUR,CHF,1.14218,1.14238,1.14228
EUR,CNY,7.96177,7.96447,7.96312
EUR,EUR,1.00000,1.00000,1.00000
EUR,GBP,0.884030,0.884200,0.884115
EUR,JPY,129.350,129.369,129.360
EUR,MXN,22.2378,22.2488,22.2433
EUR,SEK,10.3212,10.3259,10.3236
EUR,USD,1.14661,1.14675,1.14668
GBP,AUD,1.83035,1.83098,1.83066
GBP,CAD,1.69868,1.69911,1.69890
GBP,CHF,1.29183,1.29217,1.29200
GBP,CNY,9.00493,9.00792,9.00642
GBP,EUR,1.13097,1.13118,1.13108
GBP,GBP,1.00000,1.00000,1.00000
GBP,JPY,146.302,146.329,146.316
GBP,MXN,25.1514,25.1637,25.1576
GBP,SEK,11.6730,11.6797,11.6764
GBP,USD,1.29684,1.29699,1.29692
JPY,AUD,0.0125116,0.0125141,0.0125128
JPY,CAD,0.0116100,0.0116128,0.0116114
JPY,CHF,0.00882924,0.00883119,0.00883022
JPY,CNY,0.0615461,0.0615659,0.0615560
JPY,EUR,0.00772983,0.00773096,0.00773040
JPY,GBP,0.00683392,0.00683518,0.00683455
JPY,JPY,1.00000,1.00000,1.00000
JPY,MXN,0.171902,0.171985,0.171944
JPY,SEK,0.0797816,0.0798265,0.0798040
JPY,USD,0.00886352,0.00886446,0.00886399
MXN,AUD,0.0727462,0.0727898,0.0727680
MXN,CAD,0.0675130,0.0675475,0.0675302
MXN,CHF,0.0513401,0.0513691,0.0513546
MXN,CNY,0.357896,0.358107,0.358002
MXN,EUR,0.0449463,0.0449686,0.0449574
MXN,GBP,0.0397398,0.0397593,0.0397496
MXN,JPY,5.81447,5.81726,5.81586
MXN,MXN,1.00000,1.00000,1.00000
MXN,SEK,0.463937,0.464322,0.464130
MXN,USD,0.0515421,0.0515614,0.0515518
SEK,AUD,0.156730,0.156837,0.156784
SEK,CAD,0.145455,0.145542,0.145498
SEK,CHF,0.110611,0.110683,0.110647
SEK,CNY,0.771080,0.771598,0.771339
SEK,EUR,0.0968436,0.0968880,0.0968658
SEK,GBP,0.0856187,0.0856677,0.0856432
SEK,JPY,12.5272,12.5342,12.5307
SEK,MXN,2.15368,2.15547,2.15458
SEK,SEK,1.00000,1.00000,1.00000
SEK,USD,0.111047,0.111097,0.111072
USD,AUD,1.41139,1.41171,1.41155
USD,CAD,1.30986,1.31004,1.30995
USD,CHF,0.996080,0.996270,0.996175
USD,CNY,6.94375,6.94525,6.94450
USD,EUR,0.872030,0.872136,0.872083
USD,GBP,0.771016,0.771105,0.771060
USD,JPY,112.810,112.822,112.816
USD,MXN,19.3944,19.4016,19.3980
USD,SEK,9.00112,9.00523,9.00318
USD,USD,1.00000,1.00000,1.00000
