base_currency,quote_currency,bid,ask,midpoint
AUD,AUD,1,1,1
AUD,BRL,2.72925,2.732,2.73062
AUD,CAD,0.912199,0.912467,0.912333
AUD,CHF,0.698954,0.699199,0.699076
AUD,CNY,4.8394,4.84128,4.84034
AUD,DKK,4.56702,4.56882,4.56792
AUD,EUR,0.61234,0.612441,0.61239
AUD,GBP,0.538107,0.538268,0.538188
AUD,HKD,5.52156,5.52299,5.52228
AUD,INR,52.2808,52.3637,52.3222
AUD,JPY,80.063,80.077,80.07
AUD,KRW,796.599,797.792,797.196
AUD,MXN,13.3821,13.3875,13.3848
AUD,MYR,2.92225,2.92637,2.92431
AUD,NOK,5.82771,5.83183,5.82977
AUD,NZD,1.09464,1.09491,1.09478
AUD,PLN,2.6381,2.64013,2.63912
AUD,RUB,46.9637,47.002,46.9828
AUD,SEK,6.39922,6.40225,6.40074
AUD,SGD,0.974263,0.974577,0.97442
AUD,THB,23.0748,23.1831,23.129
AUD,TRY,4.332,4.34148,4.33674
AUD,TWD,21.7825,21.825,21.8038
AUD,USD,0.70464,0.70476,0.7047
AUD,ZAR,10.4417,10.4538,10.4478
BRL,AUD,0.366032,0.366401,0.366216
BRL,BRL,1,1,1
BRL,CAD,0.333951,0.334272,0.334112
BRL,CHF,0.255883,0.256144,0.256014
BRL,CNY,1.77168,1.77355,1.77262
BRL,DKK,1.67196,1.67374,1.67285
BRL,EUR,0.224151,0.224367,0.224259
BRL,GBP,0.196998,0.197189,0.197094
BRL,HKD,2.02141,2.02329,2.02235
BRL,INR,19.1397,19.1829,19.1613
BRL,JPY,29.3087,29.3366,29.3226
BRL,KRW,291.63,292.262,291.946
BRL,MXN,4.89911,4.90435,4.90173
BRL,MYR,1.06982,1.07205,1.07094
BRL,NOK,2.13349,2.13643,2.13496
BRL,NZD,0.400684,0.40112,0.400902
BRL,PLN,0.965794,0.967183,0.966488
BRL,RUB,17.1932,17.2187,17.206
BRL,SEK,2.34272,2.34539,2.34406
BRL,SGD,0.356672,0.357026,0.356849
BRL,THB,8.44757,8.49287,8.47022
BRL,TRY,1.58592,1.59046,1.58819
BRL,TWD,7.97446,7.99535,7.9849
BRL,USD,0.257965,0.258181,0.258073
BRL,ZAR,3.82266,3.82965,3.82616
CAD,AUD,1.09593,1.09625,1.09609
CAD,BRL,2.99157,2.99445,2.99301
CAD,CAD,1,1,1
CAD,CHF,0.766135,0.766368,0.766252
CAD,CNY,5.30454,5.30636,5.30545
CAD,DKK,5.00599,5.00772,5.00686
CAD,EUR,0.671128,0.671293,0.67121
CAD,GBP,0.589828,0.589977,0.589902
CAD,HKD,6.05227,6.05355,6.05291
CAD,INR,57.3058,57.394,57.3499
CAD,JPY,87.7526,87.7735,87.763
CAD,KRW,873.166,874.432,873.799
