base_currency,quote_currency,bid,ask,midpoint
AUD,AUD,1.00000,1.00000,1.00000
AUD,CAD,0.927845,0.928182,0.928014
AUD,CHF,0.705583,0.705877,0.705730
AUD,CNY,4.91867,4.92085,4.91976
AUD,EUR,0.617776,0.617864,0.617820
AUD,GBP,0.546165,0.546356,0.546260
AUD,JPY,79.9100,79.9260,79.9180
AUD,MXN,13.7379,13.7462,13.7420
AUD,SEK,6.37607,6.38035,6.37821
AUD,USD,0.708360,0.708520,0.708440
CAD,AUD,1.07737,1.07777,1.07757
CAD,CAD,1.00000,1.00000,1.00000
CAD,CHF,0.760349,0.760599,0.760474
CAD,CNY,5.30045,5.30232,5.30138
CAD,EUR,0.665645,0.665823,0.665734
CAD,GBP,0.588557,0.588711,0.588634
CAD,JPY,86.1141,86.1335,86.1238
CAD,MXN,14.8042,14.8118,14.8080
CAD,SEK,6.87096,6.87497,6.87296
CAD,USD,0.763341,0.763446,0.763394
CHF,AUD,1.41668,1.41727,1.41698
CHF,CAD,1.31475,1.31519,1.31497
CHF,CHF,1.00000,1.00000,1.00000
CHF,CNY,6.96975,6.97258,6.97116
CHF,EUR,0.875365,0.875519,0.875442
CHF,GBP,0.773898,0.774102,0.774000
CHF,JPY,113.234,113.257,113.246
CHF,MXN,19.4666,19.4776,19.4721
CHF,SEK,9.03487,9.04062,9.03774
CHF,USD,1.00374,1.00394,1.00384
CNY,AUD,0.203217,0.203307,0.203262
CNY,CAD,0.188597,0.188663,0.188630
CNY,CHF,0.143419,0.143477,0.143448
CNY,CNY,1.00000,1.00000,1.00000
CNY,EUR,0.125556,0.125599,0.125578
CNY,GBP,0.111015,0.111053,0.111034
CNY,JPY,16.2430,16.2480,16.2455
CNY,MXN,2.79241,2.79407,2.79324
CNY,SEK,1.29602,1.29688,1.29645
CNY,USD,0.143983,0.144014,0.143998
EUR,AUD,1.61848,1.61871,1.61860
EUR,CAD,1.50190,1.50230,1.50210
EUR,CHF,1.14218,1.14238,1.14228
EUR,CNY,7.96184,7.96460,7.96322
EUR,EUR,1.00000,1.00000,1.00000
EUR,GBP,0.884030,0.884200,0.884115
EUR,JPY,129.350,129.369,129.360
EUR,MXN,22.2375,22.2488,22.2432
EUR,SEK,10.3213,10.3258,10.3236
EUR,USD,1.14662,1.14677,1.14670
GBP,AUD,1.83031,1.83095,1.83063
GBP,CAD,1.69863,1.69907,1.69885
GBP,CHF,1.29182,1.29216,1.29199
GBP,CNY,9.00472,9.00778,9.00625
GBP,EUR,1.13097,1.13118,1.13108
GBP,GBP,1.00000,1.00000,1.00000
GBP,JPY,146.302,146.329,146.316
GBP,MXN,25.1503,25.1629,25.1566
GBP,SEK,11.6728,11.6794,11.6761
GBP,USD,1.29681,1.29697,1.29689
JPY,AUD,0.0125116,0.0125141,0.0125128
JPY,CAD,0.0116099,0.0116125,0.0116112
JPY,CHF,0.00882948,0.00883127,0.00883038
JPY,CNY,0.0615461,0.0615648,0.0615554
JPY,EUR,0.00772983,0.00773096,0.00773040
JPY,GBP,0.00683392,0.00683518,0.00683455
JPY,JPY,1.00000,1.00000,1.00000
JPY,MXN,0.171899,0.171979,0.171939
JPY,SEK,0.0797820,0.0798247,0.0798034
JPY,USD,0.00886352,0.00886431,0.00886392
MXN,AUD,0.0727474,0.0727911,0.0727692
MXN,CAD,0.0675136,0.0675482,0.0675309
MXN,CHF,0.0513409,0.0513700,0.0513554
MXN,CNY,0.357901,0.358113,0.358007
MXN,EUR,0.0449462,0.0449690,0.0449576
MXN,GBP,0.0397411,0.0397609,0.0397510
MXN,JPY,5.81466,5.81737,5.81602
MXN,MXN,1.00000,1.00000,1.00000
MXN,SEK,0.463947,0.464328,0.464138
MXN,USD,0.0515430,0.0515623,0.0515526
SEK,AUD,0.156731,0.156836,0.156784
SEK,CAD,0.145455,0.145540,0.145498
SEK,CHF,0.110612,0.110682,0.110647
SEK,CNY,0.771084,0.771594,0.771339
SEK,EUR,0.0968449,0.0968870,0.0968660
SEK,GBP,0.0856205,0.0856692,0.0856448
SEK,JPY,12.5275,12.5341,12.5308
SEK,MXN,2.15365,2.15542,2.15454
SEK,SEK,1.00000,1.00000,1.00000
SEK,USD,0.111047,0.111097,0.111072
USD,AUD,1.41139,1.41171,1.41155
USD,CAD,1.30985,1.31003,1.30994
USD,CHF,0.996080,0.996270,0.996175
USD,CNY,6.94375,6.94525,6.94450
USD,EUR,0.872014,0.872129,0.872072
USD,GBP,0.771028,0.771123,0.771076
USD,JPY,112.812,112.822,112.817
USD,MXN,19.3940,19.4013,19.3976
USD,SEK,9.00117,9.00518,9.00318
USD,USD,1.00000,1.00000,1.00000
